@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled 
@N: MT206 |Auto Constrain mode is enabled
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2[10]" with 10 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2[11]" with 20 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\hydra_inst_wo_load.v":126:0:126:5|Instance "uMasterSlave.u_myip_top.my_hydra.Y\[14\][16]" with 6 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2[12]" with 20 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\hydra_inst_wo_load.v":126:0:126:5|Instance "uMasterSlave.u_myip_top.my_hydra.Y\[14\][17]" with 6 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2[13]" with 20 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2[14]" with 20 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2[19]" with 20 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2[20]" with 20 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2[21]" with 20 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2[22]" with 20 loads replicated 1 times to improve timing 
@N: FX271 :"c:\users\morpack\documents\morpack_fpga\hydra\smart_sche_unit.v":70:0:70:5|Instance "uMasterSlave.u_myip_top.my_dec.inst_2[23]" with 20 loads replicated 1 times to improve timing 
@N: FX103 :"c:\users\morpack\documents\morpack_fpga\hydra\top_controller_v2.v":346:3:346:16|Instance "uMasterSlave.u_myip_top.curstate[3]" with "710" loads has been replicated "1" time(s) due to a soft fanout limit of "500" 
@N: FX164 |The option to pack flops in the IOB has not been specified 
@N: MT535 |Writing timing correlation to file C:\Users\morpack\Documents\morpack_fpga\hydra\hydra_1\MasterSlave_TRI_ctd.txt 
@N: MT320 |Timing report estimates place and route data. Please look at the place and route timing report for final timing.
@N: MT322 |Clock constraints cover only FF-to-FF paths associated with the clock.
@N: MT320 |Timing report estimates place and route data. Please look at the place and route timing report for final timing.
@N: MT322 |Clock constraints cover only FF-to-FF paths associated with the clock.
